,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1740.405,st_app,2,2,3,None,1,"[17.704134942965627, 21.058900225302935, 0.0]",71.81759643554688,approach,5,"[40.00239457871443, 7.164479833577638, 0.0]",80.39129638671875,None,1,"[41.835783462051346, 21.286140228295658, 5.968632615509781]",11.968000411987305,return to base,2,"[7.295993513164341, 10.536613335541206, 6.877042635052332]",19.823999404907227
1748.835,,2,2,3,None,1,"[17.704148575542465, 21.05893487036071, 0.0]",71.67759704589844,approach,5,"[44.14312827545669, 7.583603729084781, 0.0]",79.99250030517578,None,1,"[41.835595023031445, 21.286942375475824, 5.9156882400439414]",11.968000411987305,return to base,2,"[5.638342105347655, 8.552789500711892, 6.783711200300392]",19.07200050354004
1757.545,,2,2,3,None,1,"[17.70416128376256, 21.058969307053687, 0.0]",71.53759765625,approach,5,"[47.871591017744706, 10.032014388563326, 0.0]",79.50250244140625,None,1,"[41.833454393816254, 21.285201595835655, 5.861062460117322]",11.968000411987305,return to base,2,"[4.481145398416971, 7.166803607922513, 6.705264176987564]",18.327999114990234
1766.73,,2,2,3,None,1,"[17.704170175382412, 21.05900096829749, 0.0]",71.39759826660156,approach,5,"[51.8312789873341, 12.496799366632846, 0.0]",79.01249694824219,None,1,"[41.82803711372004, 21.28067345719582, 5.795248502432135]",11.968000411987305,return to base,2,"[2.6321183522587233, 4.954744263032439, 6.561450557418343]",17.559999465942383
1775.945,,2,2,3,None,1,"[17.704163045059587, 21.059018640476843, 0.0]",71.25759887695312,approach,5,"[55.83541307288793, 14.999224287997155, 0.0]",78.52249908447266,None,1,"[41.822626598580946, 21.27574210016248, 5.736138677751541]",11.968000411987305,return to base,2,"[0.9109394107875008, 2.8944623923205963, 6.474119769509171]",16.808000564575195
1783.835,,2,2,3,None,1,"[17.70417511434555, 21.059048754071945, 0.0]",71.11759948730469,approach,5,"[59.236235397013814, 17.10137988586844, 0.0]",78.03250122070312,None,1,"[41.82281272573476, 21.275887635791115, 5.727593998294415]",11.968000411987305,return to base,2,"[1.005731374250467, 3.0050806277969206, 6.474478770343787]",16.13599967956543
1791.32,,2,2,3,None,1,"[17.704186760126692, 21.059080043143027, 0.0]",70.97760009765625,approach,5,"[61.66301626828273, 18.64147606974687, 0.0]",78.03250122070312,None,1,"[41.822972082489194, 21.27601709996078, 5.7193781890890305]",11.968000411987305,return to base,2,"[1.0157207466949998, 3.0127507051234375, 4.780625301566447]",15.607999801635742
1794.0,uav_call_tele,2,2,3,None,1,"[17.70418125933433, 21.059080278725766, 0.0]",70.97760009765625,approach,5,"[61.6648190722418, 18.63770766848303, 0.0]",77.5425033569336,None,1,"[41.82303750790149, 21.276070333221917, 5.716407226653973]",11.968000411987305,return to base,2,"[1.0199049189821114, 3.0140838662894875, 3.8646957211146544]",15.607999801635742
1795.835,uav_st_tele,2,2,4,None,1,"[17.704176069308957, 21.059081415202588, 0.0]",70.97760009765625,approach,5,"[61.66665774743001, 18.636156211254043, 0.0]",77.5425033569336,teleoperation,1,"[41.823084226825166, 21.27610836571267, 5.714380953560955]",11.968000411987305,return to base,2,"[1.010502073838114, 3.007066071634695, 3.0946516547300402]",15.607999801635742
1803.1,,2,2,4,None,1,"[17.704190250371948, 21.059111210451892, 0.0]",70.83760070800781,approach,5,"[61.74324020162809, 18.699254406064906, 0.0]",77.05249786376953,teleoperation,1,"[41.82237935994056, 21.27524984949896, 5.679729302080635]",11.968000411987305,return to base,2,"[1.053457411536428, 3.0193355277467764, 1.4153690316678078]",14.895999908447266
1803.84,uav_end_rb,2,2,4,None,1,"[17.704188180260346, 21.059111720062283, 0.0]",70.83760070800781,approach,5,"[61.74320037966372, 18.6991404147532, 0.0]",77.05249786376953,teleoperation,1,"[41.82193230912903, 21.274034519973036, 5.646699492462993]",11.968000411987305,None,2,"[0.9829968097745005, 3.000400958924095, 0.7082269791780617]",14.895999908447266
1809.22,,2,2,4,None,1,"[17.704190282083268, 21.05912780757706, 0.0]",70.83760070800781,approach,5,"[61.82060766078082, 18.785097201696164, 0.0]",77.05249786376953,teleoperation,1,"[41.84168718317837, 21.259974345460478, 4.694820914155583]",11.968000411987305,None,2,"[0.8671554959447666, 3.004764126998288, 0.7093252847214719]",14.895999908447266
1814.97,,2,2,4,None,1,"[17.70419137399404, 21.059144141117443, 0.0]",70.69760131835938,approach,5,"[61.842651403795415, 18.798014930384454, 0.0]",76.5625,teleoperation,1,"[41.8530094079485, 21.2640851951793, 4.473590421477804]",11.968000411987305,None,2,"[0.8659877382494793, 3.0039019328106846, 0.7092656331555829]",14.744000434875488
1820.895,,2,2,4,None,1,"[17.704192027739214, 21.059160555280346, 0.0]",70.55760192871094,approach,5,"[61.86427155966774, 18.818754823589583, 0.0]",76.5625,teleoperation,1,"[41.85244235159078, 21.264214295017922, 4.473690837337856]",11.968000411987305,None,2,"[0.8618031601538013, 3.00170220381563, 0.7090762711127891]",14.744000434875488
1826.705,,2,2,4,None,1,"[17.704209320900983, 21.059190200146958, 0.0]",70.55760192871094,approach,5,"[61.86403163231048, 18.818726376074924, 0.0]",76.07250213623047,teleoperation,1,"[41.85200635167707, 21.263227881854032, 4.473571794973085]",11.968000411987305,None,2,"[0.8579619057887832, 2.999773571173649, 0.7089744971946174]",14.744000434875488
1832.64,,2,2,4,None,1,"[17.704210564517055, 21.059206271004523, 0.0]",70.4176025390625,approach,5,"[61.86413081136955, 18.818734203730706, 0.0]",75.5824966430664,teleoperation,1,"[41.852060325033484, 21.26303522549853, 4.473476350445034]",11.968000411987305,None,2,"[0.853641664040039, 2.9980449651953403, 0.7086291236334595]",14.744000434875488
1835.695,er_app,2,2,4,None,1,"[17.70420206039415, 21.05920827279238, 0.0]",70.4176025390625,None,5,"[61.863800489993736, 18.81853437543273, 0.0]",75.5824966430664,teleoperation,1,"[41.852229666348634, 21.263070788418407, 4.473518752430908]",11.968000411987305,None,2,"[0.8513279354156448, 2.997307924924192, 0.7087382563092498]",14.744000434875488
1835.965,req_assist,2,2,4,None,1,"[17.7042012135809, 21.059208445662563, 0.0]",70.4176025390625,None,5,"[61.86383668523952, 18.81854691619748, 0.0]",75.5824966430664,teleoperation,1,"[41.85228704052511, 21.262768243404427, 4.473316453758422]",11.968000411987305,None,2,"[0.8509762723380875, 2.997313994483258, 0.7087559975404769]",14.744000434875488
1842.13,,2,2,4,None,1,"[17.70421795322585, 21.05923811596379, 0.0]",70.27760314941406,None,5,"[61.863916746859374, 18.818584561426746, 0.0]",75.34850311279297,teleoperation,1,"[42.13057223828297, 21.124273314052836, 4.359635218034488]",11.968000411987305,None,2,"[0.8461465803429083, 2.9959434696092018, 0.708588577285489]",14.744000434875488
1849.365,,2,2,4,None,1,"[17.70421508578524, 21.05925554084903, 0.0]",70.27760314941406,None,5,"[61.86391734998941, 18.818472501395966, 0.0]",75.34850311279297,teleoperation,1,"[42.15337778550584, 21.12372819142719, 4.360576418488201]",11.968000411987305,None,2,"[0.8427344874397988, 2.9947734407003357, 0.70848009130889]",14.744000434875488
1856.62,,2,2,4,None,1,"[17.704227704924993, 21.05928675969891, 0.0]",70.13760375976562,None,5,"[61.863674585349386, 18.818354065802204, 0.0]",75.25849914550781,teleoperation,1,"[42.17624283876932, 21.022327974622577, 4.340829693577952]",11.968000411987305,None,2,"[0.8412179874613274, 2.9940053299748928, 0.7084016244774541]",14.744000434875488
1863.035,,2,2,4,None,1,"[17.704228058416128, 21.059302951708467, 0.0]",69.99759674072266,None,5,"[61.86373598751607, 18.81841810878453, 0.0]",75.16850280761719,teleoperation,1,"[42.81377992665625, 21.458728103736064, 4.375071410151926]",11.968000411987305,None,2,"[0.8410454886672409, 2.9935316046942675, 0.7084354118948419]",14.744000434875488
1869.66,,2,2,4,None,1,"[17.70422645223328, 21.05932030171372, 0.0]",69.99759674072266,None,5,"[61.863591310879656, 18.818267755932837, 0.0]",75.16850280761719,teleoperation,1,"[42.87958184835256, 21.701168600012636, 4.369756958040454]",11.968000411987305,None,2,"[0.8410964452668858, 2.993129646989003, 0.708399715160763]",14.744000434875488
1875.745,,2,2,4,None,1,"[17.704226458167255, 21.059337210380292, 0.0]",69.85759735107422,None,5,"[61.86341136078085, 18.818082102764762, 0.0]",75.07849884033203,teleoperation,1,"[42.93342592782794, 21.78158595136124, 4.369874893960425]",11.968000411987305,None,2,"[0.8413260714349726, 2.992781554772945, 0.7084057300756705]",14.744000434875488
1881.76,,2,2,4,None,1,"[17.704242301282637, 21.05936798542277, 0.0]",69.71759796142578,None,5,"[61.86319865214408, 18.81784143033229, 0.0]",74.9885025024414,teleoperation,1,"[43.02707415900225, 19.856412095712937, 4.180393730773816]",11.968000411987305,None,2,"[0.8411871088095876, 2.992313778870621, 0.7083962171211774]",14.744000434875488
