,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
617.49,,,1,2,0,approach,2,"[28.158557816483363, 16.039487320283634, 0.0]",81.41490173339844,None,0,"[0.994911979381611, 1.0061190302537661, 0.6571934849004931]",100.0
627.725,,,1,2,0,approach,2,"[31.51365701877626, 15.934137729042389, 0.0]",80.67489624023438,None,0,"[0.994881832535164, 1.0062631204802945, 0.6570321329360302]",100.0
628.715,,,1,2,0,approach,2,"[31.596865050334703, 15.924722271555934, 0.0]",80.67489624023438,None,0,"[0.9948032972365639, 1.0062906747488296, 0.6571842518164986]",100.0
628.86,,,1,2,0,approach,2,"[31.59562647723145, 15.916359409727281, 0.0]",80.67489624023438,None,0,"[0.9948769286754368, 1.0063020644135778, 0.6572248035670752]",100.0
629.725,uav_on_vs,UAV_1,2,2,0,approach,2,"[31.58756739060529, 15.8968766606962, 0.0]",80.67489624023438,None,0,"[0.9948779887082994, 1.0063289903594856, 0.6572247007292429]",100.0
633.615,uav_st_app,UAV_1,2,2,0,approach,2,"[31.490623855007012, 15.896521167162444, 0.0]",79.93489837646484,approach,0,"[0.9948967088654024, 1.0063065611050943, 0.6571719156780923]",99.90290069580078
646.69,,,2,2,0,approach,2,"[31.337479328477286, 15.768250330880267, 0.0]",79.19490051269531,approach,0,"[0.9948219306561551, 1.0067589958714098, 0.6571621430468815]",99.01290130615234
657.79,,,2,2,0,approach,2,"[31.57822377385748, 16.063790730070437, 0.0]",78.45490264892578,approach,0,"[0.9950158807180738, 1.0069659100626576, 0.6572246203565275]",98.1229019165039
668.555,,,2,2,0,approach,2,"[32.64927476015003, 15.329323822070377, 0.0]",77.71489715576172,approach,0,"[0.9949192303858049, 1.0071539855924145, 0.6572308240188477]",97.24089813232422
673.745,end_app,pioneer3at_1,2,2,0,None,2,"[32.38682568450977, 15.9855147793172, 0.0]",76.97489929199219,approach,0,"[0.9948951084547031, 1.0072405846346744, 0.6572233040671965]",96.35089874267578
676.43,st_rb,pioneer3at_1,2,2,0,return to base,2,"[31.865287221785078, 16.22024346983499, 0.0]",76.97489929199219,approach,0,"[0.9948921566960253, 1.0072954285137254, 0.657223014282692]",96.35089874267578
686.525,,,2,2,0,return to base,2,"[27.780419584128, 16.0657363062096, 0.0]",76.306396484375,approach,0,"[0.994878797379112, 1.0075904354340128, 0.6572219971859243]",95.46089935302734
696.03,,,2,2,0,return to base,2,"[23.96361338397229, 15.81612012870082, 0.0]",75.56639862060547,approach,0,"[0.9949143999416586, 1.007873066500816, 0.6572218046698413]",94.57890319824219
705.695,,,2,2,0,return to base,2,"[20.173860370286736, 16.10818280454975, 0.0]",74.82640075683594,approach,0,"[0.9948370294362168, 1.0080473738221978, 0.657181207586776]",93.68890380859375
716.18,,,2,2,0,return to base,2,"[17.11329015162527, 15.754372732426441, 0.0]",74.0864028930664,approach,0,"[0.9949327468027512, 1.0082954877241732, 0.6572216092464017]",92.79889678955078
726.74,,,2,2,0,return to base,2,"[14.430726508912795, 13.537932044679138, 0.0]",73.34639739990234,approach,0,"[0.9949106566182341, 1.0084828842216087, 0.6572211501514991]",91.90889739990234
736.97,,,2,2,0,return to base,2,"[12.176235119519141, 10.043656097076802, 0.0]",72.60639953613281,approach,0,"[0.9949036855466528, 1.0087343777136863, 0.6572220508492839]",91.0188980102539
747.505,,,2,2,0,return to base,2,"[9.510035402554015, 6.555419070328167, 0.0]",71.86640167236328,approach,0,"[0.9948373185790244, 1.0089337021368752, 0.6572195476879888]",90.12889862060547
757.485,,,2,2,0,return to base,2,"[7.00855975154642, 3.305988737441353, 0.0]",71.12640380859375,approach,0,"[0.9948593300111065, 1.0091524163349501, 0.657219300552498]",89.24690246582031
767.245,,,2,2,0,return to base,2,"[3.9776923312181784, 0.8944314480859659, 0.0]",70.38639831542969,approach,0,"[0.994862303684908, 1.009364195740229, 0.6572189984272703]",88.35690307617188
777.065,,,2,2,0,return to base,2,"[3.4415731557091385, 0.765204609169341, 0.0]",69.64640045166016,approach,0,"[0.994935350756788, 1.0095939922854458, 0.6572195409358846]",87.46690368652344
788.275,,,2,2,0,return to base,2,"[2.6181372521065502, 1.0407896244878438, 0.0]",68.90640258789062,approach,0,"[0.9949154372750658, 1.0098231011898648, 0.6571633327728037]",86.57689666748047
