,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
2015.045,,3,3,3,teleoperation,5,"[40.57423205513845, 8.438752432297528, 0.0]",77.08080291748047,exploration,5,"[25.62331616553976, 23.14160149306408, 0.0]",61.09189987182617,assessment,1,"[31.14081352746462, 20.710397480004143, 5.145507008450234]",57.487998962402344,None,0,"[54.455932436969796, 16.184049451158106, 1.3812694522601285]",21.679500579833984
2022.8,,3,3,3,teleoperation,5,"[41.14446792005019, 7.812985411158346, 0.0]",76.94080352783203,exploration,5,"[25.61891936343269, 23.11268445382435, 0.0]",60.75189971923828,assessment,1,"[29.582303563214378, 19.999376055330934, 5.938280132212774]",56.720001220703125,None,0,"[54.45601592009402, 16.18348045771642, 1.38134456013321]",21.589500427246094
2030.905,,3,3,3,teleoperation,5,"[41.62839384756518, 7.602177629019373, 0.0]",76.80079650878906,exploration,5,"[25.61899354649035, 23.072832839454257, 0.0]",60.32389831542969,assessment,1,"[27.94245504382014, 19.255761543066374, 6.729926074382964]",55.97600173950195,None,0,"[54.456014895619454, 16.18348011518084, 1.3813443990862257]",21.499500274658203
2038.435,,3,3,3,teleoperation,5,"[43.16201525348492, 6.742038889432018, 0.0]",76.80079650878906,exploration,5,"[25.62580022285888, 23.007565931201437, 0.0]",60.32389831542969,assessment,1,"[26.090953534940407, 18.41616654262425, 7.706749018351859]",55.97600173950195,None,0,"[54.45582592063602, 16.183868514259995, 1.3812475643067592]",21.499500274658203
2045.83,,3,3,3,teleoperation,5,"[44.492942936626775, 6.9854437065106, 0.0]",76.66079711914062,exploration,5,"[25.62748369242196, 22.951335639831207, 0.0]",59.89189910888672,assessment,1,"[24.132036549752748, 17.954626255613622, 8.142877097158854]",55.2239990234375,None,0,"[54.45582435592502, 16.183867623393176, 1.3812473218608263]",21.409500122070312
2054.915,,3,3,3,teleoperation,5,"[44.60685076979905, 7.875054157846958, 0.0]",76.52079772949219,exploration,5,"[25.6231428896506, 22.876586237028498, 0.0]",59.399898529052734,assessment,1,"[21.803607935998212, 18.825546348770484, 7.73171259085784]",54.4640007019043,None,0,"[54.45592895192248, 16.18406001867441, 1.381252728623824]",21.319499969482422
2055.345,end_tele,3,3,3,None,5,"[44.60699581813016, 7.8749708238930936, 0.0]",76.52079772949219,exploration,5,"[25.622960663645983, 22.87327577449917, 0.0]",59.399898529052734,assessment,1,"[21.900377270334786, 18.78897010356078, 7.733946042433346]",54.4640007019043,None,0,"[54.455928908624955, 16.184060008512493, 1.3812527211997632]",21.319499969482422
2057.325,st_exp,3,3,3,exploration,5,"[44.606215310063355, 7.8773032385835, 0.0]",76.52079772949219,exploration,5,"[25.62194057039594, 22.857558528927417, 0.0]",59.399898529052734,assessment,1,"[20.819744750945098, 19.195558295685007, 7.530008903732604]",54.4640007019043,None,0,"[54.45592869745313, 16.184059958975386, 1.3812526849882425]",21.319499969482422
2064.26,,3,3,3,exploration,5,"[46.54788926149382, 7.733459725759972, 0.0]",76.28079986572266,exploration,5,"[25.6170804299793, 22.80182609231651, 0.0]",58.8838996887207,assessment,1,"[19.53675719635469, 19.67928224351749, 7.179066960171819]",53.70399856567383,None,0,"[54.45592796409103, 16.18405978726343, 1.3812525591974736]",21.22949981689453
2071.81,,3,3,3,exploration,5,"[47.12467513075609, 6.919475179313385, 0.0]",75.85279846191406,exploration,5,"[25.610319513207518, 22.73899527519655, 0.0]",58.419898986816406,assessment,1,"[17.30137303902613, 20.521946800894547, 6.7597734228036]",52.959999084472656,None,0,"[54.455927168232805, 16.184059601488325, 1.381252422625817]",21.13949966430664
